ID	precursor number	monoisotopic m/z	charge	peak alpha	elution profile
0	0	404.1463	1	37172.6349359	5016:21600.78,5035:19035.87,5054:18571.66,5073:18446.22
1	1	430.88735	1	71021.409553	5016:47104.54,5035:48269.19,5054:44624.79,5073:42142.38
2	3	681.22335	1	14840.0686447	5016:7383.997,5035:7562.797,5054:5062.423
3	4	698.22145	1	18204.4624357	5016:10169.48,5035:9407.517,5054:10316.08,5073:6845.958
4	5	832.1572	1	71123.9848608	5016:25382.4,5035:53509.64,5054:37128.64,5073:34294.09
5	6	440.7216	2	18576.520595	5016:4979.669,5035:9037.605,5054:9462.858,5073:6476.699
6	9	362.0276	1	13294.9319068	5073:7417.367,5092:11281.27,5111:0.0
7	10	379.08335	1	16201.2235702	5035:4870.189,5054:8142.367,5073:5019.509,5092:4458.505
8	11	380.12365	1	9599.62971747	5054:1356.995,5073:3198.569,5092:2257.421
9	12	551.216	1	7590.30633572	5035:2922.909,5054:3779.356,5073:3063.005,5092:5005.105
10	13	624.23605	1	29454.6712728	5016:10696.35,5035:15748.75,5054:11634.76,5073:10992.83
11	15	670.17195	1	22726.1923946	5985:0.0,5016:6506.443,5035:2954.674
12	17	468.4405	2	38067.4541571	5054:129.5261,5073:3767.789,5092:3955.452,5111:0.0
13	19	383.86145	3	18350.6143172	5016:3956.631,5035:9926.272,5054:9818.287,5073:12190.58
14	20	468.69375	4	2.54497412255e-07	5054:2864.921,5073:5059.058,5092:4226.156
15	22	383.1075	1	19259.7849568	5092:1277.652,5111:7142.97,5130:0.0
16	24	468.4405	1	9888.95257617	5054:145.6567,5073:927.8948,5092:4305.307,5111:10068.13,5130:0.0
17	25	505.12105	1	22584.3413602	5016:7802.328,5035:8550.049,5054:9840.183,5073:7507.586
18	26	540.16035	1	12096.2035482	5016:1980.513,5035:3001.612,5054:4107.888,5073:2799.69
19	27	388.1899	1	24437.9771048	5016:12258.91,5035:12043.93,5054:13384.96,5073:198.3717,5092:149.6769
20	30	408.05005	1	14993.1632121	5092:5443.768,5111:6222.068,5130:6696.697,5149:0.0
21	31	415.03555	1	32262.0012669	5073:11132.45,5092:12755.36,5111:16227.62,5130:10272.1
22	32	455.1909	1	58153.8141692	5073:22105.21,5092:24107.64,5111:29641.22,5130:17570.7
23	33	868.4625	1	1.31171787399e-07	5073:950.7374,5092:1021.611,5111:1523.19,5130:5971.588,5149:0.0
24	34	836.7642	2	65840.1037745	5092:0.0,5111:26785.01,5130:0.0
25	35	887.5128	2	104.901123849	5111:0.0,5130:52768.23,5149:0.0
26	36	887.669	3	4630.42462135	5092:9036.227,5111:58670.36,5130:8516.294
27	37	468.4405	4	29594.334688	5111:5567.991,5130:10677.49,5149:0.0
28	39	868.4625	4	32484.7666892	5073:119114.4,5092:138007.8,5111:183079.8,5130:127285.4
29	40	887.5128	4	136017.346209	5054:8202.12,5073:69531.34,5092:5659.959
30	41	372.3178	1	7699.36641238	5073:8006.81,5092:8007.445,5111:14689.14,5130:9049.214,5149:11332.0
31	42	523.13355	1	5.81008274387e-08	5035:2272.545,5054:3387.819,5073:3487.107,5092:486.5108
32	43	687.20005	1	21493.069439	5016:1954.355,5035:3774.862,5054:4801.454,5073:5177.683,5092:3764.081,5111:541.5693
33	44	642.9469	3	16518.8393451	5092:4286.081,5111:5431.784,5130:7959.805,5149:6512.58
34	45	836.9982	3	471.046885404	5092:15747.9,5111:81773.59,5130:40774.38,5149:16242.96
35	46	373.0962	4	2351.64995865	5092:487.9043,5111:2200.803,5130:1215.333,5149:1870.741
36	47	642.9469	4	13519.8951044	5035:801.1969,5054:9488.504,5073:8101.589,5092:727.2167
37	48	393.08115	1	128947.912066	5035:17346.82,5054:30896.05,5073:33341.66,5092:34408.41,5111:33879.08,5130:28504.43,5149:9483.031,5168:7492.356
38	48	393.08115	1	125161.964504	5035:17346.82,5054:30896.05,5073:33341.66,5092:34408.41,5111:33879.08,5130:28504.43,5149:9483.031,5168:7492.356
39	49	421.32765	2	56209.3332633	5149:9562.219,5168:16262.68,5187:0.0
40	51	394.0829	4	11451.2914694	5985:0.0,5016:278.1141,5035:0.0
41	51	394.0829	4	10400.1944478	5149:1503.47,5168:3400.787,5187:0.0
42	52	888.1378	1	4.54234411196e-08	5130:0.0,5149:1237.815,5168:0.0
43	54	360.02595	1	3794.73829658	5985:0.0,5016:3291.617,5035:3028.667,5054:959.858
44	54	360.02595	1	2027.16420361	5054:959.858,5073:4667.429,5092:6219.991,5111:4977.834,5130:1773.545
45	54	360.02595	1	2.62960491862e-06	5187:2129.286,5206:4571.783,5225:4537.484,5244:0.0
46	55	361.0238	1	2.62960491862e-06	5206:0.0,5225:1048.209,5244:0.0
47	55	361.0238	1	2.54497412255e-07	5035:887.3064,5054:1160.314,5073:1968.064,5092:988.0133,5111:405.2539
48	55	361.0238	1	4.02282000897e-09	5985:0.0,5016:1873.49,5035:887.3064
49	56	468.4405	4	16267.7186784	5168:7557.094,5187:9274.312,5206:10107.15,5225:7736.612
50	57	887.7542	4	5.81008274387e-08	5035:0.0,5054:10350.29,5073:5133.486
51	57	887.7542	4	7.34962618543e-10	5149:2800.798,5168:21241.23,5187:7952.846,5206:6006.779,5225:5793.152
52	58	402.19045	1	20876.3102967	5187:5455.467,5206:8025.827,5225:10322.15,5244:7234.14
53	58	402.19045	1	20279.3470348	5149:5515.987,5168:10153.45,5187:5455.467
54	58	402.19045	1	15841.2413422	5054:4334.434,5073:6584.99,5092:8032.873,5111:7195.789,5130:6799.239,5149:5515.987
55	59	432.1073	1	4.54234411196e-08	5130:0.0,5149:4195.926,5168:0.0
56	60	459.16905	1	18260.6475322	5073:6147.185,5092:9213.523,5111:7926.773,5130:5536.511
57	60	459.16905	1	17231.3892498	5016:5111.681,5035:8756.11,5054:7254.054,5073:6147.185
58	60	459.16905	1	16352.6963598	5206:7146.894,5225:8660.166,5244:8670.545,5263:0.0
